Date,Open,High,Low,Close,Volume,Adj Close
2014-01-30 00:00,837.54,862.62,816.36,824.95,100,824.95
2014-01-31 00:00,824.46,875.27,819.42,848.35,100,848.35
2014-02-01 00:00,848.03,874.36,842.22,853.5,100,853.5
2014-02-02 00:00,853.94,880.39,851.83,859.86,100,859.86
2014-02-03 00:00,859.5,884.79,843.86,850.8,100,850.8
2014-02-04 00:00,850.7,874.68,841.44,844.24,100,844.24
2014-02-05 00:00,844.65,864.59,820.867,840.4,100,840.4
2014-02-06 00:00,840.4,862.14,783.2,800.39,100,800.39
2014-02-07 00:00,799.9,818.21,658.87,710.45,100,710.45
2014-02-08 00:00,711.2,756.3,679.32,706.77,100,706.77
2014-02-09 00:00,707.46,710.72,657.94,697.61,100,697.61
2014-02-10 00:00,692.95,708.79,535.78,600.28,100,600.28
2014-02-11 00:00,597.39,713.07,594.36,704.85,100,704.85
2014-02-12 00:00,703.93,704.34,633.87,654.46,100,654.46
2014-02-13 00:00,653.05,667.67,598.4075,646.65,100,646.65
2014-02-14 00:00,646.78,654.91,532.8,612.84,100,612.84
2014-02-15 00:00,612.26,708.22,609.78,639.52,100,639.52
2014-02-16 00:00,639.52,667.54,616.59,621.72,100,621.72
2014-02-17 00:00,620.39,652.51,576.34,650.24,100,650.24
2014-02-18 00:00,651.32,653.91,614.78,614.78,100,614.78
2014-02-19 00:00,612.99,629.9,608.03,615.03,100,615.03
2014-02-20 00:00,614.95,635.42,582.31,589.68,100,589.68
2014-02-21 00:00,589.85,599.12,525.41,578.43,100,578.43
2014-02-22 00:00,580.89,583.32,541.12,565.41,100,565.41
2014-02-23 00:00,565.42,637.49,559.7,617.13,100,617.13
2014-02-24 00:00,617.12,627.53,556.0,580.28,100,580.28
2014-02-25 00:00,580.1,580.58,418.78,495.61,100,495.61
2014-02-26 00:00,497.29,604.19,484.9,560.83,100,560.83
2014-02-27 00:00,560.33,593.35,549.23,573.58,100,573.58
2014-02-28 00:00,573.69,594.1,544.62,544.62,100,544.62
2014-03-01 00:00,545.01,577.1,536.06,552.72,100,552.72
2014-03-02 00:00,552.72,573.65,551.17,560.9,100,560.9
2014-03-03 00:00,560.97,597.07,547.83,585.26,100,585.26
2014-03-04 00:00,585.26,691.5,582.38,687.0,100,687.0
2014-03-05 00:00,687.27,698.55,643.67,654.96,100,654.96
2014-03-06 00:00,655.06,666.63,648.4,658.0,100,658.0
2014-03-07 00:00,658.0,659.56,625.8278,636.78,100,636.78
2014-03-08 00:00,636.57,637.45,609.11,616.2,100,616.2
